race_id,bet_type,combo,odds,fetched_at
012026062907,3t,2-6-1,332.2,2026-06-29 08:44:09
012026062907,3t,2-6-3,332.2,2026-06-29 08:44:09
012026062907,3t,2-6-4,0.0,2026-06-29 08:44:09
012026062907,3t,2-6-5,0.0,2026-06-29 08:44:09
012026062907,3t,3-1-2,166.1,2026-06-29 08:44:09
012026062907,3t,3-1-4,55.3,2026-06-29 08:44:09
012026062907,3t,3-1-5,41.5,2026-06-29 08:44:09
012026062907,3t,3-1-6,110.7,2026-06-29 08:44:09
012026062907,3t,3-2-1,166.1,2026-06-29 08:44:09
012026062907,3t,3-2-4,166.1,2026-06-29 08:44:09
012026062907,3t,3-2-5,83.0,2026-06-29 08:44:09
012026062907,3t,3-2-6,332.2,2026-06-29 08:44:09
012026062907,3t,3-4-1,166.1,2026-06-29 08:44:09
012026062907,3t,3-4-2,0.0,2026-06-29 08:44:09
012026062907,3t,3-4-5,166.1,2026-06-29 08:44:09
012026062907,3t,3-4-6,0.0,2026-06-29 08:44:09
012026062907,3t,3-5-1,55.3,2026-06-29 08:44:09
012026062907,3t,3-5-2,110.7,2026-06-29 08:44:09
012026062907,3t,3-5-4,30.2,2026-06-29 08:44:09
012026062907,3t,3-5-6,332.2,2026-06-29 08:44:09
012026062907,3t,3-6-1,83.0,2026-06-29 08:44:09
012026062907,3t,3-6-2,0.0,2026-06-29 08:44:09
012026062907,3t,3-6-4,332.2,2026-06-29 08:44:09
012026062907,3t,3-6-5,0.0,2026-06-29 08:44:09
012026062907,3t,4-1-2,332.2,2026-06-29 08:44:09
012026062907,3t,4-1-3,332.2,2026-06-29 08:44:09
